City|Date|Card_Type|Exp_Type|Gender|Amount|EMI_Paid
Delhi|27-Oct-13|Platinum|Bills|F|678842|0
Delhi|11-May-14|Gold|Bills|F|478861|0
Bengaluru|10-Nov-14|Platinum|Bills|F|804938|0
Delhi|30-Jan-15|Silver|Bills|F|888341|0
Bengaluru|19-Apr-14|Platinum|Bills|F|262414|0
Bengaluru|08-Sep-14|Gold|Bills|F|249353|0
Ahmedabad|10-Dec-13|Gold|Bills|F|892016|0
Ahmedabad|04-Nov-13|Platinum|Bills|F|313626|0
Mumbai|01-Jun-14|Gold|Bills|F|314366|0
Mumbai|27-Apr-14|Signature|Bills|F|551340|0
Delhi|04-Oct-13|Signature|Bills|F|735037|0
Mumbai|31-Dec-14|Platinum|Bills|F|574023|0
Ahmedabad|21-Dec-13|Signature|Bills|F|402300|0
Delhi|07-Dec-13|Signature|Bills|F|733125|0
Mumbai|07-Feb-14|Signature|Bills|F|545977|0
Bengaluru|13-May-15|Silver|Bills|F|371572|0
Ahmedabad|28-Jan-15|Signature|Bills|F|326283|0
Delhi|09-Dec-14|Platinum|Bills|F|279051|0
Delhi|08-Oct-13|Platinum|Bills|F|900101|0
Ahmedabad|24-Apr-14|Silver|Bills|F|545286|0
Delhi|13-Jan-15|Platinum|Bills|F|722587|0
Bengaluru|14-Mar-14|Platinum|Bills|F|411062|0
Delhi|27-Feb-14|Platinum|Bills|F|660910|0
Mumbai|29-Oct-13|Signature|Bills|F|557370|0
Mumbai|22-Jun-14|Platinum|Bills|F|549794|0
Delhi|23-Jan-14|Platinum|Bills|F|340133|0
Bengaluru|10-Nov-13|Gold|Bills|F|265417|0
Mumbai|13-Dec-13|Platinum|Bills|F|358185|0
Mumbai|22-Mar-14|Gold|Bills|F|991685|0
Mumbai|13-Jan-15|Gold|Bills|F|533762|0
Mumbai|08-May-14|Gold|Bills|F|829742|0
Delhi|18-Feb-14|Silver|Bills|F|441527|0
Delhi|04-Oct-13|Signature|Bills|F|550782|0
Mumbai|14-Jun-14|Platinum|Bills|F|835872|0
Ahmedabad|24-Aug-14|Silver|Bills|F|540497|0
Mumbai|02-Apr-15|Platinum|Bills|F|525977|0
Mumbai|27-Jun-14|Gold|Bills|F|789393|0
Mumbai|06-Feb-15|Platinum|Bills|F|689478|0
Bengaluru|29-Mar-14|Silver|Bills|F|499079|0
Ahmedabad|22-Apr-14|Platinum|Bills|F|665107|0
Mumbai|14-Oct-14|Platinum|Bills|F|998077|0
Ahmedabad|02-Feb-14|Silver|Bills|F|934205|0
Bengaluru|01-Apr-15|Platinum|Bills|F|823426|0
Ahmedabad|13-Jan-15|Signature|Bills|F|282910|0
Bengaluru|27-Mar-14|Gold|Bills|F|418675|0
Ahmedabad|17-Feb-15|Silver|Bills|F|804949|0
Bengaluru|10-Feb-15|Gold|Bills|F|686601|0
Mumbai|26-Feb-14|Silver|Bills|F|561220|0
Mumbai|07-May-15|Gold|Bills|F|762534|0
Bengaluru|05-Jan-14|Gold|Bills|F|327947|0
Bengaluru|07-Apr-14|Gold|Bills|F|492986|0
Delhi|20-Feb-15|Signature|Bills|F|369237|0
Bengaluru|19-Jan-15|Platinum|Bills|F|983839|0
Ahmedabad|14-Nov-14|Gold|Bills|F|776716|0
Mumbai|21-Jul-14|Gold|Bills|F|664632|0
Bengaluru|03-Feb-15|Gold|Bills|F|466727|0
Bengaluru|01-Nov-13|Gold|Bills|F|896384|0
Delhi|07-Dec-13|Signature|Bills|F|712001|0
Mumbai|05-Aug-14|Silver|Bills|F|246865|0
Mumbai|08-Jan-15|Signature|Bills|F|858729|0
Delhi|11-Apr-15|Platinum|Bills|F|581882|0
Mumbai|15-Feb-15|Signature|Bills|F|646426|0
Bengaluru|24-Mar-15|Silver|Bills|F|687088|0
Bengaluru|13-Oct-13|Signature|Bills|F|973026|0
Mumbai|24-Apr-15|Silver|Bills|F|944398|0
Ahmedabad|09-Nov-14|Platinum|Bills|F|414422|0
Bengaluru|04-Feb-15|Signature|Bills|F|408503|0
Bengaluru|06-Mar-14|Signature|Bills|F|984466|0
Mumbai|27-Mar-14|Gold|Bills|F|919997|0
Mumbai|13-Nov-13|Signature|Bills|F|535101|0
Mumbai|22-Oct-13|Signature|Bills|F|978301|0
Mumbai|27-Sep-14|Gold|Bills|F|880406|0
Ahmedabad|14-Nov-14|Silver|Bills|F|447241|0
Bengaluru|21-Oct-13|Platinum|Bills|F|382191|0
Bengaluru|15-May-15|Silver|Bills|F|775859|0
Bengaluru|21-Mar-14|Platinum|Bills|F|832637|0
Bengaluru|03-Apr-15|Platinum|Bills|F|458526|0
Ahmedabad|06-Apr-15|Signature|Bills|F|440995|0
Ahmedabad|05-Nov-13|Platinum|Bills|F|490128|0
Delhi|07-Oct-13|Platinum|Bills|F|897079|0
Delhi|31-Oct-14|Gold|Bills|F|431948|0
Bengaluru|03-Apr-14|Silver|Bills|F|228072|0
Delhi|21-Nov-13|Gold|Bills|F|757649|0
Delhi|11-May-14|Signature|Bills|F|919877|0
Mumbai|23-May-14|Gold|Bills|F|605615|0
Bengaluru|22-May-15|Platinum|Bills|F|500852|0
Mumbai|15-Feb-15|Signature|Bills|F|488136|0
Delhi|16-Jun-14|Gold|Bills|F|937828|0
Delhi|27-Jan-14|Gold|Bills|F|315873|0
Mumbai|20-May-15|Silver|Bills|F|567623|0
Mumbai|29-Oct-13|Platinum|Bills|F|555123|0
Bengaluru|20-Apr-14|Gold|Bills|F|498843|0
Mumbai|23-May-14|Silver|Bills|F|752610|0
Mumbai|11-Mar-15|Platinum|Bills|F|494540|0
Delhi|27-Oct-13|Gold|Bills|F|996754|0
Ahmedabad|14-Jul-14|Signature|Bills|F|245572|0
Delhi|18-Apr-14|Gold|Bills|F|974384|0
Ahmedabad|25-Mar-14|Silver|Bills|F|846635|0
Ahmedabad|01-Sep-14|Silver|Bills|F|635473|0
Delhi|23-Mar-15|Gold|Bills|F|224510|0
Delhi|24-Jan-15|Silver|Bills|F|478671|0
Mumbai|04-Oct-13|Gold|Bills|F|990700|0
Delhi|14-Mar-14|Gold|Bills|F|228565|0
Bengaluru|03-Jan-14|Silver|Bills|F|297732|0
Mumbai|03-Dec-14|Signature|Bills|F|559262|0
Bengaluru|01-Jul-14|Signature|Bills|F|809907|0
Ahmedabad|21-Aug-14|Signature|Bills|F|428316|0
Ahmedabad|05-Mar-14|Signature|Bills|F|275065|0
Bengaluru|20-Apr-14|Silver|Bills|F|845653|0
Ahmedabad|20-Nov-13|Signature|Bills|F|236296|0
Bengaluru|25-Sep-14|Signature|Bills|F|440572|0
Ahmedabad|06-Feb-15|Gold|Bills|F|478115|0
Bengaluru|26-Oct-13|Gold|Bills|F|897621|0
Mumbai|06-May-15|Signature|Bills|F|554281|0
Delhi|30-Sep-14|Silver|Bills|F|245452|0
Delhi|17-Jan-14|Platinum|Bills|F|365045|0
Mumbai|11-Jan-15|Gold|Bills|F|496047|0
Bengaluru|11-Feb-15|Silver|Bills|F|466814|0
Bengaluru|10-Nov-14|Gold|Bills|F|835177|1
Delhi|12-Jan-15|Silver|Bills|F|219698|1
Bengaluru|18-Oct-14|Silver|Bills|F|784541|1
Delhi|25-Oct-13|Signature|Bills|F|576994|1
Bengaluru|15-May-15|Gold|Bills|F|464663|1
Bengaluru|03-May-14|Platinum|Bills|F|380270|1
Ahmedabad|02-Oct-14|Silver|Bills|F|772082|1
Delhi|09-Apr-15|Gold|Bills|F|230853|1
Bengaluru|06-Oct-13|Signature|Bills|F|677654|1
Mumbai|05-Feb-14|Signature|Bills|F|929247|1
Ahmedabad|09-Apr-15|Platinum|Bills|F|851374|1
Ahmedabad|19-Jan-14|Platinum|Bills|F|637600|1
Mumbai|09-Nov-13|Platinum|Bills|F|681749|1
Delhi|25-Mar-14|Silver|Bills|F|847958|1
Mumbai|18-Feb-14|Gold|Bills|F|877569|1
Ahmedabad|14-Oct-13|Platinum|Bills|F|450413|1
Bengaluru|01-May-15|Signature|Bills|F|219041|1
Bengaluru|31-Dec-14|Gold|Bills|F|866572|1
Mumbai|26-Mar-14|Signature|Bills|F|570791|1
Ahmedabad|28-Apr-14|Silver|Bills|F|705464|1
Mumbai|06-Apr-14|Signature|Bills|F|806821|1
Mumbai|27-Mar-14|Platinum|Bills|F|515472|1
Ahmedabad|23-Sep-14|Silver|Bills|F|352207|1
Ahmedabad|04-Mar-15|Gold|Bills|F|342761|1
Bengaluru|27-Feb-14|Signature|Bills|F|249099|1
Ahmedabad|27-Aug-14|Platinum|Bills|F|995634|1
Bengaluru|12-Dec-14|Signature|Bills|F|435097|1
Ahmedabad|16-Jun-14|Platinum|Bills|F|797815|1
Delhi|02-Jan-14|Gold|Bills|F|326922|1
Bengaluru|11-Dec-14|Gold|Bills|F|396241|1
Delhi|14-Dec-14|Gold|Bills|F|486949|1
Mumbai|17-Jan-14|Gold|Bills|F|333483|1
Ahmedabad|05-Oct-13|Platinum|Bills|F|612572|1
Bengaluru|18-Mar-15|Silver|Bills|F|327244|1
Ahmedabad|04-Feb-14|Silver|Bills|F|955468|1
Mumbai|25-Feb-15|Gold|Bills|F|927864|1
Delhi|28-Mar-14|Signature|Bills|F|555220|1
Delhi|28-Dec-14|Silver|Bills|F|952640|1
Ahmedabad|31-May-14|Silver|Bills|F|695749|1
Mumbai|22-Aug-14|Platinum|Bills|F|365724|1
Mumbai|03-Mar-15|Platinum|Bills|F|738108|1
Ahmedabad|17-Jan-15|Platinum|Bills|F|650785|1
Delhi|23-Oct-14|Signature|Bills|F|611486|1
Bengaluru|05-Aug-14|Platinum|Bills|F|965721|1
Ahmedabad|12-Oct-14|Gold|Bills|F|413052|1
Ahmedabad|22-Jan-14|Silver|Bills|F|584822|1
Ahmedabad|25-Mar-15|Gold|Bills|F|980146|1
Ahmedabad|10-Oct-14|Signature|Bills|F|926072|1
Delhi|16-Apr-14|Silver|Bills|F|482394|1
Bengaluru|21-Feb-14|Signature|Bills|F|718346|1
Bengaluru|24-Apr-14|Silver|Bills|F|491598|1
Delhi|07-Sep-14|Platinum|Bills|F|848852|1
Bengaluru|28-Dec-14|Gold|Bills|F|396139|1
Ahmedabad|13-Oct-14|Signature|Bills|F|856974|1
Ahmedabad|03-Apr-15|Signature|Bills|F|855990|1
Delhi|16-Feb-15|Signature|Bills|F|924776|1
Mumbai|03-Apr-14|Signature|Bills|F|204850|1
Delhi|03-Nov-13|Platinum|Bills|F|780669|1
Mumbai|17-Apr-14|Signature|Bills|F|887442|1
Delhi|22-Jan-14|Signature|Bills|F|297820|1
Delhi|14-Mar-15|Signature|Bills|F|687879|1
Mumbai|13-Oct-13|Silver|Bills|F|738456|1
Delhi|24-Aug-14|Platinum|Bills|F|378535|1
Mumbai|09-May-15|Silver|Bills|F|334116|1
Delhi|07-Jun-14|Silver|Bills|F|772360|1
Ahmedabad|26-Nov-14|Gold|Bills|F|580796|1
Mumbai|21-Oct-14|Silver|Bills|F|855465|1
Mumbai|15-Jun-14|Gold|Bills|F|978989|1
Ahmedabad|25-Apr-15|Gold|Bills|F|451874|1
Ahmedabad|07-Sep-14|Silver|Bills|F|670750|1
Bengaluru|19-May-15|Signature|Bills|F|977951|1
Delhi|23-Feb-14|Platinum|Bills|F|403466|1
Delhi|28-Oct-13|Signature|Bills|F|861177|1
Ahmedabad|17-Dec-14|Gold|Bills|F|528612|1
Ahmedabad|04-Dec-14|Signature|Bills|F|339670|1
Delhi|18-Nov-13|Signature|Bills|F|963751|1
Ahmedabad|30-Nov-14|Gold|Bills|F|761930|1
Ahmedabad|21-Aug-14|Signature|Bills|F|852806|1
Delhi|25-May-14|Signature|Bills|F|207755|1
Mumbai|19-Apr-15|Gold|Bills|F|489540|1
Ahmedabad|25-Mar-14|Silver|Bills|F|274395|1
Bengaluru|11-Feb-14|Platinum|Bills|F|566945|1
Ahmedabad|09-Dec-14|Gold|Bills|F|705690|1
Bengaluru|25-Mar-14|Gold|Bills|F|894888|1
Mumbai|02-Jan-14|Platinum|Bills|F|811899|1
Mumbai|25-Dec-14|Silver|Bills|F|677645|1
Mumbai|16-Oct-14|Platinum|Bills|F|326162|1
Delhi|19-Apr-15|Platinum|Bills|F|316946|1
Delhi|20-Jan-14|Platinum|Bills|F|622373|1
Bengaluru|10-May-14|Signature|Bills|F|640653|1
Ahmedabad|09-Jan-15|Signature|Bills|F|745493|1
Delhi|31-Oct-13|Gold|Bills|F|868021|1
Delhi|28-Nov-14|Platinum|Bills|F|284923|1
Bengaluru|21-Jul-14|Platinum|Bills|F|814422|1
Bengaluru|22-Apr-15|Gold|Bills|F|599741|1
Ahmedabad|10-Jun-14|Platinum|Bills|F|804560|1
Ahmedabad|17-Apr-15|Gold|Bills|F|996291|1
Ahmedabad|09-Nov-13|Platinum|Bills|F|477553|1
Delhi|02-Jan-15|Gold|Bills|F|216028|1
Mumbai|10-Mar-15|Signature|Bills|F|275427|1
Delhi|22-Dec-13|Silver|Bills|F|722048|1
Delhi|14-Feb-15|Silver|Bills|F|292365|1
Ahmedabad|30-Jan-15|Silver|Bills|F|400393|1
Mumbai|01-Apr-14|Platinum|Bills|F|219720|1
Delhi|15-Feb-15|Signature|Bills|F|981404|1
Bengaluru|24-Nov-14|Signature|Bills|F|639670|1
Bengaluru|07-Aug-14|Gold|Bills|F|814333|1
Ahmedabad|17-Oct-13|Gold|Bills|F|569582|1
Ahmedabad|25-May-14|Gold|Bills|F|954111|1
Ahmedabad|16-May-14|Gold|Bills|F|635267|1
Delhi|11-Oct-13|Gold|Bills|F|393651|1
Ahmedabad|02-Jun-14|Platinum|Bills|F|572306|1
Ahmedabad|06-Aug-14|Silver|Bills|F|407647|1
Mumbai|26-Jan-15|Gold|Bills|F|734396|1
Delhi|02-Mar-15|Platinum|Bills|F|224414|1
Ahmedabad|10-Sep-14|Signature|Bills|F|203194|1
Mumbai|22-Jan-15|Gold|Bills|F|250410|1
Delhi|04-Apr-15|Silver|Bills|F|830697|1
Mumbai|16-May-14|Platinum|Bills|F|790800|1
Mumbai|22-Feb-14|Silver|Bills|F|638570|1
Mumbai|13-Aug-14|Silver|Bills|F|380409|1
Mumbai|01-Apr-14|Gold|Bills|F|601631|1
Ahmedabad|08-Jan-14|Gold|Bills|F|690534|1
Ahmedabad|05-Mar-15|Silver|Bills|F|423661|1
Mumbai|08-Dec-14|Silver|Bills|F|936294|1
Bengaluru|29-Nov-14|Platinum|Bills|F|537050|1
Delhi|08-Mar-15|Silver|Bills|F|899343|1
Mumbai|25-Nov-13|Platinum|Bills|F|834691|1
Ahmedabad|13-Apr-15|Silver|Bills|F|240216|1
Mumbai|15-Apr-14|Signature|Bills|F|424370|1
Delhi|13-Feb-15|Silver|Bills|F|593991|1
Mumbai|02-Oct-14|Signature|Bills|F|768467|1
Delhi|07-Feb-15|Gold|Bills|F|781959|1
Bengaluru|27-Dec-14|Platinum|Bills|F|553907|1
Bengaluru|04-Aug-14|Platinum|Bills|F|308622|1
Mumbai|05-May-15|Signature|Bills|F|912334|1
Delhi|28-Jan-15|Silver|Bills|F|586474|1
Delhi|06-Apr-14|Gold|Bills|F|521237|1
Delhi|30-Oct-13|Signature|Bills|F|446266|1
Mumbai|30-Sep-14|Platinum|Bills|F|511168|1
Bengaluru|28-Dec-13|Signature|Bills|F|608438|1
Delhi|18-Oct-14|Gold|Bills|F|973519|1
Delhi|28-Nov-14|Platinum|Bills|F|688577|1
Bengaluru|12-May-14|Silver|Bills|F|686619|1
Mumbai|06-Nov-14|Signature|Bills|F|255982|1
Mumbai|02-Mar-14|Signature|Bills|F|464656|1
Delhi|19-Apr-15|Signature|Bills|F|212319|1
Mumbai|18-Apr-15|Platinum|Bills|F|307563|1
Delhi|15-Apr-15|Silver|Bills|F|407564|1
Bengaluru|12-Oct-14|Signature|Bills|F|331349|1
Delhi|14-Apr-15|Silver|Bills|F|391325|1
Ahmedabad|07-Oct-14|Silver|Bills|F|530244|1
Mumbai|16-Apr-14|Signature|Bills|F|668736|1
Bengaluru|03-Dec-14|Gold|Bills|F|517448|1
Ahmedabad|03-Aug-14|Platinum|Bills|F|788531|1
Ahmedabad|17-Mar-14|Gold|Bills|F|474729|1
Bengaluru|16-Jan-15|Platinum|Bills|F|590841|1
Mumbai|05-Jan-14|Platinum|Bills|F|608427|1
Delhi|02-May-15|Silver|Bills|F|719835|1
Delhi|30-Dec-13|Signature|Bills|F|375139|1
Bengaluru|19-May-14|Platinum|Bills|F|229589|1
Bengaluru|05-Jul-14|Signature|Bills|F|376453|1
Delhi|10-Oct-13|Signature|Bills|F|360009|1
Ahmedabad|03-Aug-14|Signature|Bills|F|770346|1
Mumbai|23-May-15|Signature|Bills|F|489043|1
Bengaluru|11-Nov-14|Platinum|Bills|F|503037|1
Mumbai|11-Jan-14|Platinum|Bills|F|731261|1
Ahmedabad|14-Feb-14|Signature|Bills|F|262755|1
Mumbai|16-Jul-14|Gold|Bills|F|825475|1
Mumbai|24-Feb-14|Platinum|Bills|F|922630|1
Delhi|25-Sep-14|Gold|Bills|F|752172|1
Ahmedabad|11-Jun-14|Gold|Bills|F|418009|1
Delhi|07-Jun-14|Signature|Bills|F|994537|1
Mumbai|02-Aug-14|Silver|Bills|F|922206|1
Mumbai|21-May-14|Signature|Bills|F|389097|1
Bengaluru|04-Apr-15|Signature|Bills|F|880778|1
Mumbai|03-Mar-15|Gold|Bills|F|327971|1
Bengaluru|02-Mar-14|Signature|Bills|F|689201|1
Bengaluru|17-May-15|Silver|Bills|F|792440|1
Bengaluru|17-Mar-15|Signature|Bills|F|602222|1
Ahmedabad|03-Sep-14|Platinum|Bills|F|502399|1
Ahmedabad|17-Mar-14|Silver|Bills|F|272804|1
Bengaluru|06-Jun-14|Platinum|Bills|F|613280|1
Delhi|17-Oct-14|Signature|Bills|F|876491|1
Bengaluru|25-Feb-14|Silver|Bills|F|820217|1
Mumbai|06-Sep-14|Signature|Bills|F|994184|1
Ahmedabad|07-Dec-13|Platinum|Bills|F|515263|1
Ahmedabad|28-Aug-14|Signature|Bills|F|338527|1
Ahmedabad|16-Jun-14|Silver|Bills|F|934683|1
Ahmedabad|07-Jul-14|Signature|Bills|F|454570|1
Mumbai|28-Jan-15|Gold|Bills|F|654519|1
Ahmedabad|12-Jun-14|Gold|Bills|F|958047|1
Bengaluru|03-Nov-13|Silver|Bills|F|465281|1
Ahmedabad|31-Dec-13|Signature|Bills|F|653161|1
Ahmedabad|14-Apr-14|Gold|Bills|F|307350|1
Mumbai|27-Aug-14|Silver|Bills|F|41002|1
Bengaluru|03-Jan-14|Silver|Bills|F|34743|1
Bengaluru|26-Sep-14|Signature|Bills|F|195589|1
Bengaluru|10-Mar-14|Signature|Bills|F|204735|1
Ahmedabad|14-May-14|Signature|Bills|F|118112|1
Mumbai|12-Dec-13|Platinum|Bills|F|61572|1
Delhi|25-Feb-15|Gold|Bills|F|274938|1
Mumbai|21-Feb-14|Signature|Bills|F|43854|1
Delhi|27-Apr-14|Gold|Bills|F|8798|1
Mumbai|08-May-15|Gold|Bills|F|192241|1
Bengaluru|10-Apr-14|Silver|Bills|F|128164|1
Delhi|28-Apr-14|Signature|Bills|F|249061|1
Mumbai|29-Jan-14|Gold|Bills|F|275283|1
Mumbai|03-Jan-14|Platinum|Bills|F|172194|1
Ahmedabad|13-May-15|Gold|Bills|F|13162|1
Bengaluru|05-Feb-15|Platinum|Bills|F|3427|1
Bengaluru|07-Jan-15|Gold|Bills|F|171374|1
Delhi|19-Feb-15|Signature|Bills|F|286251|1
Ahmedabad|19-Oct-14|Platinum|Bills|F|123417|1
Delhi|03-Dec-13|Silver|Bills|F|81088|1
Ahmedabad|26-Oct-14|Signature|Bills|F|64113|1
Bengaluru|27-Mar-14|Platinum|Bills|F|54374|1
Ahmedabad|18-Mar-15|Signature|Bills|F|175515|1
Delhi|25-Nov-13|Gold|Bills|F|78773|1
Bengaluru|25-Jun-14|Signature|Bills|F|143515|1
Delhi|22-Nov-14|Silver|Bills|F|263613|1
Mumbai|22-Apr-15|Platinum|Bills|F|265434|1
Delhi|03-Jun-14|Signature|Bills|F|87839|1
Delhi|16-Jun-14|Signature|Bills|F|60905|1
Delhi|09-Apr-15|Platinum|Bills|F|199726|1
Delhi|20-Jan-15|Silver|Bills|F|267896|1
Ahmedabad|31-Dec-13|Gold|Bills|F|198937|0
Mumbai|02-Oct-14|Gold|Bills|F|90745|0
Mumbai|24-Jul-14|Silver|Bills|F|86676|0
Mumbai|08-May-15|Platinum|Bills|F|163574|0
Mumbai|27-Apr-15|Signature|Bills|F|2138|0
Bengaluru|11-Jun-14|Silver|Bills|F|253749|0
Delhi|06-Jun-14|Platinum|Bills|F|60187|0
Bengaluru|03-Mar-15|Platinum|Bills|F|15566|0
Mumbai|11-Jul-14|Signature|Bills|F|242144|0
Delhi|17-Mar-14|Platinum|Bills|F|114049|0
Bengaluru|17-Mar-14|Gold|Bills|F|100992|0
Delhi|03-Mar-14|Silver|Bills|F|173017|0
Mumbai|07-Jun-14|Gold|Bills|F|279567|0
Delhi|28-Dec-13|Signature|Bills|F|25016|0
Delhi|11-Nov-13|Silver|Bills|F|157982|0
Bengaluru|17-May-14|Signature|Bills|F|240387|0
Delhi|31-Aug-14|Platinum|Bills|F|134030|0
Bengaluru|26-Jan-15|Gold|Bills|F|108651|0
Delhi|17-Jan-14|Gold|Bills|F|138617|0
Bengaluru|27-Jan-14|Signature|Bills|F|98963|0
Delhi|24-Dec-13|Silver|Bills|F|25486|0
Delhi|03-Mar-15|Gold|Bills|F|231140|0
Ahmedabad|22-Oct-13|Gold|Bills|F|20032|1
Mumbai|14-Jan-15|Gold|Bills|F|293938|1
Delhi|11-Jan-14|Silver|Bills|F|88175|1
Ahmedabad|07-Feb-15|Platinum|Bills|F|105297|1
Delhi|08-Oct-13|Platinum|Bills|F|129169|1
Mumbai|14-Aug-14|Signature|Bills|F|172386|1
Mumbai|09-May-15|Platinum|Bills|F|46369|1
Mumbai|02-Apr-14|Silver|Bills|F|158636|1
Delhi|26-Nov-14|Signature|Bills|F|87219|1
Delhi|16-Nov-14|Gold|Bills|F|183445|1
Bengaluru|27-Jun-14|Silver|Bills|F|147977|1
Ahmedabad|19-Nov-14|Platinum|Bills|F|243279|1
Bengaluru|04-Apr-14|Platinum|Bills|F|243950|1
Delhi|14-Apr-15|Silver|Bills|F|32548|1
Delhi|09-Dec-13|Platinum|Bills|F|118126|1
Mumbai|30-Nov-13|Platinum|Bills|F|13325|1
Mumbai|16-Feb-14|Gold|Bills|F|295055|1
Mumbai|12-Jan-15|Platinum|Bills|F|64764|1
Bengaluru|03-Feb-14|Platinum|Bills|F|174520|1
Delhi|05-Nov-13|Signature|Bills|F|72763|1
Mumbai|27-Sep-14|Signature|Bills|F|269809|1
Delhi|29-Jun-14|Silver|Bills|F|81145|1
Ahmedabad|13-Jul-14|Silver|Bills|F|25948|1
Mumbai|23-Jan-15|Silver|Bills|F|120188|1
Mumbai|05-Dec-14|Signature|Bills|F|8259|1
Delhi|15-Apr-14|Signature|Bills|F|285830|1
Bengaluru|27-Apr-15|Gold|Bills|F|67039|1
Ahmedabad|25-Jul-14|Gold|Bills|F|14370|1
Ahmedabad|10-Oct-14|Platinum|Bills|F|54304|1
Mumbai|18-Oct-13|Gold|Bills|F|188856|1
Ahmedabad|18-Jan-14|Gold|Bills|F|44635|1
Mumbai|22-Nov-13|Platinum|Bills|F|227273|1
Delhi|26-Mar-14|Gold|Bills|F|234200|1
Delhi|12-Dec-14|Signature|Bills|F|79053|1
Mumbai|01-Mar-15|Silver|Bills|F|49711|1
Mumbai|29-Oct-14|Signature|Bills|F|203463|1
Bengaluru|29-Jul-14|Signature|Bills|F|196985|1
Mumbai|18-Apr-15|Gold|Bills|F|246457|1
Delhi|05-Nov-13|Platinum|Bills|F|88344|1
Bengaluru|27-Aug-14|Signature|Bills|F|167457|1
Bengaluru|04-Mar-14|Gold|Bills|F|254598|1
Delhi|27-Jan-14|Platinum|Bills|F|102486|1
Mumbai|18-Jan-14|Silver|Bills|F|159428|1
Bengaluru|28-Jan-14|Platinum|Bills|F|296987|1
Ahmedabad|06-Feb-15|Signature|Bills|F|89418|1
Delhi|26-Feb-15|Signature|Bills|F|77247|1
Bengaluru|24-Jan-14|Gold|Bills|F|66542|1
Mumbai|27-Nov-14|Silver|Bills|F|194526|1
Bengaluru|16-Jul-14|Signature|Bills|F|178119|1
Bengaluru|16-May-14|Gold|Bills|F|258653|1
Delhi|02-Nov-14|Silver|Bills|F|97425|1
Delhi|23-May-14|Gold|Bills|F|223185|1
Mumbai|28-Jan-15|Gold|Bills|F|224750|1
Ahmedabad|17-Jan-14|Signature|Bills|F|103363|1
Mumbai|27-Nov-14|Platinum|Bills|F|49090|1
Bengaluru|20-Nov-14|Platinum|Bills|F|140584|1
Delhi|26-Jun-14|Platinum|Bills|F|61272|1
Delhi|02-Jan-14|Silver|Bills|F|25200|1
Mumbai|09-Dec-13|Signature|Bills|F|249893|1
Bengaluru|25-May-14|Gold|Bills|F|91325|1
Mumbai|14-Apr-14|Silver|Bills|F|81641|1
Mumbai|14-Apr-15|Platinum|Bills|F|267700|1
Mumbai|20-Nov-14|Silver|Food|F|193429|1
Ahmedabad|22-Apr-14|Gold|Food|F|97674|1
Bengaluru|08-Mar-14|Silver|Food|F|222579|1
Bengaluru|19-Mar-15|Platinum|Food|F|194846|1
